SNP	Chr	Pos
ipSNP1	1	1195312
ipSNP2	1	1201921
ipSNP3	1	1466736
ipSNP4	1	1568364
ipSNP5	1	1665404
ipSNP6	1	1665405
ipSNP7	1	1665408
ipSNP8	1	1665418
ipSNP9	1	1686778
ipSNP10	1	1763292
ipSNP11	1	1763337
ipSNP12	1	1763397
ipSNP13	1	1763421
ipSNP14	1	1780418
ipSNP15	1	1787867
ipSNP16	1	1787870
ipSNP17	1	1787871
ipSNP18	1	1787874
ipSNP19	1	1787875
ipSNP20	1	1787892
ipSNP21	1	1792012
ipSNP22	1	1965798
ipSNP23	1	1965882
ipSNP25	1	2087599
ipSNP26	1	2089585
ipSNP27	1	2091448
ipSNP28	1	2306736
ipSNP29	1	2306739
ipSNP30	1	2306742
ipSNP31	1	2307001
ipSNP32	1	2307011
ipSNP33	1	2307029
ipSNP34	1	2307053
ipSNP35	1	2307071
ipSNP39	1	2307776
ipSNP40	1	2431751
ipSNP41	1	2467298
ipSNP42	1	2467305
ipSNP43	1	2467306
ipSNP44	1	2467308
ipSNP45	1	2467309
ipSNP46	1	2467316
ipSNP47	1	2467319
ipSNP48	1	2467320
ipSNP49	1	2467326
ipSNP50	1	2467352
ipSNP51	1	2469048
ipSNP52	1	2469056
ipSNP53	1	2469082
ipSNP54	1	2469093
ipSNP58	1	2470218
ipSNP59	1	2470219
ipSNP60	1	2470227
ipSNP61	1	2470538
ipSNP62	1	2470543
ipSNP65	1	2540555
ipSNP66	1	2540559
ipSNP67	1	2540560
ipSNP68	1	2543963
ipSNP69	1	2543968
ipSNP70	1	2544018
ipSNP71	1	2544068
ipSNP72	1	2685989
ipSNP73	1	2686010
ipSNP74	1	2691832
ipSNP75	1	2691875
ipSNP76	1	2691904
ipSNP77	1	2691906
ipSNP78	1	2691995
ipSNP79	1	2693670
ipSNP80	1	2693676
ipSNP81	1	2693995
ipSNP82	1	2727652
ipSNP83	1	2727669
ipSNP84	1	2727676
ipSNP85	1	2740913
ipSNP86	1	2740925
ipSNP87	1	2741561
ipSNP88	1	2741782
ipSNP89	1	2741796
ipSNP91	1	2753153
ipSNP92	1	2753191
ipSNP93	1	2753215
ipSNP94	1	2753327
ipSNP95	1	2753420
ipSNP97	1	2784178
ipSNP98	1	2784213
ipSNP99	1	2784215
ipSNP100	1	2784234
ipSNP102	1	2793933
ipSNP103	1	2796277
ipSNP104	1	2796295
ipSNP105	1	2799260
ipSNP106	1	2801538
ipSNP107	1	2801547
ipSNP109	1	2803659
ipSNP110	1	2803686
ipSNP111	1	2842393
ipSNP112	1	2842395
ipSNP113	1	2842408
ipSNP114	1	2872340
ipSNP115	1	2876242
ipSNP117	1	2942391
ipSNP118	1	2942412
ipSNP119	1	2942515
ipSNP120	1	2942570
ipSNP121	1	2942577
ipSNP122	1	2957286
ipSNP123	1	3000739
ipSNP124	1	3000812
ipSNP125	1	3000850
ipSNP126	1	3010418
